category,title,total_used,used_grades
GCSE,Mathematics,32476,"[""C"", ""B"", ""A"", ""8"", ""5"", ""6"", ""7"", ""A*"", ""9"", ""4"", ""3"", ""8-7"", ""2"", ""1"", ""F"", ""U"", ""G"", ""E"", """", ""D"", ""9-9"", ""8-8"", ""5-5""]"
GCSE,English Language,29170,"[""C"", ""B"", ""7"", ""5"", ""6"", ""A*"", ""8"", ""4"", ""9"", ""A"", ""3"", ""1"", ""D"", ""6-5"", ""2"", ""E"", ""U"", ""F""]"
GCSE,English Literature,26081,"[""B"", ""6"", ""5"", ""A*"", ""7"", ""4"", ""9"", ""8"", ""3"", ""A"", ""C"", ""2"", ""1"", ""D"", ""E"", ""8-8"", ""U"", ""5-5""]"
GCSE,Religious Studies,15951,"[""B"", ""6"", ""7"", ""5"", ""8"", ""4"", ""A"", ""C"", ""9"", ""A*"", ""3"", ""2"", ""6-5"", ""U"", ""D"", ""1"", ""E"", ""F""]"
GCSE,History,15718,"[""B"", ""6"", ""5"", ""A"", ""7"", ""4"", ""3"", ""8"", ""A*"", ""C"", ""9"", ""D"", ""2"", ""1"", ""E"", ""F"", ""U"", ""5-5""]"
GCSE,Biology,14648,"[""B"", ""A"", ""6"", ""8"", ""4"", ""7"", ""9"", ""5"", ""A*"", ""8-7"", ""C"", ""3"", ""1"", ""2"", ""D"", ""U"", ""E"", ""F""]"
GCSE,Chemistry,14351,"[""B"", ""A"", ""7"", ""8"", ""6"", ""5"", ""9"", ""C"", ""4"", ""A*"", ""2"", ""3"", ""1"", ""E"", ""D"", ""7-7"", ""U""]"
GCSE,Physics,13942,"[""B"", ""A"", ""5"", ""8"", ""6"", ""7"", ""4"", ""9"", ""A*"", ""C"", ""3"", ""2"", ""1"", ""D"", ""U"", ""8-8""]"
GCSE,Geography,13914,"[""B"", ""7"", ""6"", ""5"", ""4"", ""3"", ""8"", ""A*"", ""D"", ""A"", ""9"", ""C"", ""6-6"", ""2"", ""6-5"", ""1"", ""F"", ""U"", ""E""]"
GCSE,French,9277,"[""B"", ""8"", ""4"", ""7"", ""3"", ""9"", ""5"", ""6"", ""A"", ""C"", ""A*"", ""2"", ""D"", ""1"", ""E"", ""G"", ""U"", ""F""]"
GCSE,Spanish,8519,"[""B"", ""A"", ""8"", ""4"", ""5"", ""7"", ""3"", ""6"", ""9"", ""C"", ""A*"", ""2"", ""U"", ""D"", ""1"", ""E""]"
GCSE,Science - Combined (2018 onwards),7578,"[""6-6"", ""7-7"", ""8-8"", ""6-5"", ""5-4"", ""8-7"", ""4-4"", ""5-5"", ""7-6"", ""3-3"", ""4-3"", ""9-9"", ""9-8"", ""3-2"", ""6"", ""5"", ""2-2"", ""2-1"", ""4"", ""U"", ""1-1"", ""7"", ""8"", ""3""]"
GCSE,Art and Design,5858,"[""B"", ""7"", ""6"", ""8"", ""A*"", ""5"", ""9"", ""3"", ""A"", ""C"", ""4"", ""2"", ""D"", ""F"", ""E"", ""1"", ""U""]"
